IP LIN
PA -361.5 -358.5 -355.5 -352.5 -349.5 -346.5 -343.5 -340.5 -337.5 -334.5 -331.5 -328.5 -325.5 -322.5 -319.5 -316.5 -313.5 -310.5 -307.5 -304.5 -301.5 -298.5 -295.5 -292.5 -289.5 -286.5 -283.5 -280.5 -277.5 -274.5 -271.5 -268.5 -265.5 -262.5 -259.5 -256.5 -253.5 -250.5 -247.5 -244.5 -241.5 -238.5 -235.5 -232.5 -229.5 -226.5 -223.5 -220.5 -217.5 -214.5 -211.5 -208.5 -205.5 -202.5 -199.5 -196.5 -193.5 -190.5 -187.5 -184.5 -181.5 -178.5 -175.5 -172.5 -169.5 -166.5 -163.5 -160.5 -157.5 -154.5 -151.5 -148.5 -145.5 -142.5 -139.5 -136.5 -133.5 -130.5 -127.5 -124.5 -121.5 -118.5 -115.5 -112.5 -109.5 -106.5 -103.5 -100.5 -97.5 -94.5 -91.5 -88.5 -85.5 -82.5 -79.5 -76.5 -73.5 -70.5 -67.5 -64.5 -61.5 -58.5 -55.5 -52.5 -49.5 -46.5 -43.5 -40.5 -37.5 -34.5 -31.5 -28.5 -25.5 -22.5 -19.5 -16.5 -13.5 -10.5 -7.5 -4.5 -1.5 1.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 2 21 1 1.22908e-35
AP 2 22 1 8.07013e-28
AP 2 23 1 5.58494e-21
AP 2 24 1 4.07375e-15
AP 2 25 1 3.13189e-10
AP 2 26 1 2.5378e-06
AP 2 27 1 0.00216743
AP 2 28 1 0.195106
AP 2 29 1 1.85111
AP 2 30 1 1.85111
AP 2 31 1 0.195106
AP 2 32 1 0.00216743
AP 2 33 1 2.5378e-06
AP 2 34 1 3.13189e-10
AP 2 35 1 4.07375e-15
AP 2 36 1 5.58494e-21
AP 2 37 1 8.07013e-28
AP 2 38 1 1.22908e-35
AP 2 39 1 1.97295e-44
AP 2 40 1 3.33803e-54
AP 2 41 1 5.95254e-65
AP 2 42 1 1.1188e-76
AP 2 43 1 2.21635e-89
AP 2 44 1 4.62766e-103
AP 2 45 1 1.01841e-117
AP 2 46 1 2.36223e-133
AP 2 47 1 5.77507e-150
AP 2 48 1 1.4881e-167
AP 2 49 1 4.04149e-186
AP 2 50 1 1.15689e-205
AP 2 51 1 3.49041e-226
AP 2 52 1 1.10994e-247
AP 2 53 1 3.72014e-270
AP 2 54 1 1.31419e-293
AP 2 55 1 4.89321e-318
AP 2 56 1 0.0
AP 2 57 1 0.0
AP 2 58 1 0.0
AP 2 59 1 0.0
AP 2 60 1 0.0
AP 3 0 1 0.0
AP 3 1 1 0.0
AP 3 2 1 0.0
AP 3 3 1 0.0
AP 3 4 1 5.18426e-318
AP 3 5 1 1.39236e-293
AP 3 6 1 3.94142e-270
AP 3 7 1 1.17596e-247
AP 3 8 1 3.69801e-226
AP 3 9 1 1.2257e-205
AP 3 10 1 4.28188e-186
AP 3 11 1 1.57661e-167
AP 3 12 1 6.11857e-150
AP 3 13 1 2.50273e-133
AP 3 14 1 1.07899e-117
AP 3 15 1 4.90291e-103
AP 3 16 1 2.34817e-89
AP 3 17 1 1.18534e-76
AP 3 18 1 6.3066e-65
AP 3 19 1 3.53658e-54
AP 3 20 1 2.0903e-44
AP 3 21 1 1.30218e-35
AP 3 22 1 8.55014e-28
AP 3 23 1 5.91713e-21
AP 3 24 1 4.31605e-15
AP 3 25 1 3.31818e-10
AP 3 26 1 2.68875e-06
AP 3 27 1 0.00229635
AP 3 28 1 0.206711
AP 3 29 1 1.96122
AP 3 30 1 1.96122
AP 3 31 1 0.206711
AP 3 32 1 0.00229635
AP 3 33 1 2.68875e-06
AP 3 34 1 3.31818e-10
AP 3 35 1 4.31605e-15
AP 3 36 1 5.91713e-21
AP 3 37 1 8.55014e-28
AP 3 38 1 1.30218e-35
AP 3 39 1 2.0903e-44
AP 3 40 1 3.53658e-54
AP 3 41 1 6.3066e-65
AP 3 42 1 1.18534e-76
AP 3 43 1 2.34817e-89
AP 3 44 1 4.90291e-103
AP 3 45 1 1.07899e-117
AP 3 46 1 2.50273e-133
AP 3 47 1 6.11857e-150
AP 3 48 1 1.57661e-167
AP 3 49 1 4.28188e-186
AP 3 50 1 1.2257e-205
AP 3 51 1 3.69801e-226
AP 3 52 1 1.17596e-247
AP 3 53 1 3.94142e-270
AP 3 54 1 1.39236e-293
AP 3 55 1 5.18426e-318
AP 3 56 1 0.0
AP 3 57 1 0.0
AP 3 58 1 0.0
AP 3 59 1 0.0
AP 3 60 1 0.0
AP 4 0 1 0.0
AP 4 1 1 0.0
AP 4 2 1 0.0
AP 4 3 1 0.0
AP 4 4 1 5.46824e-318
AP 4 5 1 1.46863e-293
AP 4 6 1 4.15733e-270
AP 4 7 1 1.24038e-247
AP 4 8 1 3.9006e-226
AP 4 9 1 1.29284e-205
AP 4 10 1 4.51645e-186
AP 4 11 1 1.66298e-167
AP 4 12 1 6.45376e-150
AP 4 13 1 2.63983e-133
AP 4 14 1 1.13809e-117
AP 4 15 1 5.1715e-103
AP 4 16 1 2.47681e-89
AP 4 17 1 1.25028e-76
AP 4 18 1 6.65208e-65
AP 4 19 1 3.73032e-54
AP 4 20 1 2.20481e-44
AP 4 21 1 1.37352e-35
AP 4 22 1 9.01853e-28
AP 4 23 1 6.24128e-21
AP 4 24 1 4.55249e-15
AP 4 25 1 3.49995e-10
AP 4 26 1 2.83604e-06
AP 4 27 1 0.00242215
AP 4 28 1 0.218035
AP 4 29 1 2.06865
AP 4 30 1 2.06865
AP 4 31 1 0.218035
AP 4 32 1 0.00242215
AP 4 33 1 2.83604e-06
AP 4 34 1 3.49995e-10
AP 4 35 1 4.55249e-15
AP 4 36 1 6.24128e-21
AP 4 37 1 9.01853e-28
AP 4 38 1 1.37352e-35
AP 4 39 1 2.20481e-44
AP 4 40 1 3.73032e-54
AP 4 41 1 6.65208e-65
AP 4 42 1 1.25028e-76
AP 4 43 1 2.47681e-89
AP 4 44 1 5.1715e-103
AP 4 45 1 1.13809e-117
AP 4 46 1 2.63983e-133
AP 4 47 1 6.45376e-150
AP 4 48 1 1.66298e-167
AP 4 49 1 4.51645e-186
AP 4 50 1 1.29284e-205
AP 4 51 1 3.9006e-226
AP 4 52 1 1.24038e-247
AP 4 53 1 4.15733e-270
AP 4 54 1 1.46863e-293
AP 4 55 1 5.46824e-318
AP 4 56 1 0.0
AP 4 57 1 0.0
AP 4 58 1 0.0
AP 4 59 1 0.0
AP 4 60 1 0.0
AP 5 0 1 0.0
AP 5 1 1 0.0
AP 5 2 1 0.0
AP 5 3 1 0.0
AP 5 4 1 5.74223e-318
AP 5 5 1 1.54221e-293
AP 5 6 1 4.36563e-270
AP 5 7 1 1.30253e-247
AP 5 8 1 4.09603e-226
AP 5 9 1 1.35762e-205
AP 5 10 1 4.74274e-186
AP 5 11 1 1.7463e-167
AP 5 12 1 6.77711e-150
AP 5 13 1 2.7721e-133
AP 5 14 1 1.19512e-117
AP 5 15 1 5.43061e-103
AP 5 16 1 2.60091e-89
AP 5 17 1 1.31292e-76
AP 5 18 1 6.98537e-65
AP 5 19 1 3.91722e-54
AP 5 20 1 2.31528e-44
AP 5 21 1 1.44234e-35
AP 5 22 1 9.47039e-28
AP 5 23 1 6.55399e-21
AP 5 24 1 4.78059e-15
AP 5 25 1 3.67531e-10
AP 5 26 1 2.97814e-06
AP 5 27 1 0.0025435
AP 5 28 1 0.228959
AP 5 29 1 2.1723
AP 5 30 1 2.1723
AP 5 31 1 0.228959
AP 5 32 1 0.0025435
AP 5 33 1 2.97814e-06
AP 5 34 1 3.67531e-10
AP 5 35 1 4.78059e-15
AP 5 36 1 6.55399e-21
AP 5 37 1 9.47039e-28
AP 5 38 1 1.44234e-35
AP 5 39 1 2.31528e-44
AP 5 40 1 3.91722e-54
AP 5 41 1 6.98537e-65
AP 5 42 1 1.31292e-76
AP 5 43 1 2.60091e-89
AP 5 44 1 5.43061e-103
AP 5 45 1 1.19512e-117
AP 5 46 1 2.7721e-133
AP 5 47 1 6.77711e-150
AP 5 48 1 1.7463e-167
AP 5 49 1 4.74274e-186
AP 5 50 1 1.35762e-205
AP 5 51 1 4.09603e-226
AP 5 52 1 1.30253e-247
AP 5 53 1 4.36563e-270
AP 5 54 1 1.54221e-293
AP 5 55 1 5.74223e-318
AP 5 56 1 0.0
AP 5 57 1 0.0
AP 5 58 1 0.0
AP 5 59 1 0.0
AP 5 60 1 0.0
AP 6 0 1 0.0
AP 6 1 1 0.0
AP 6 2 1 0.0
AP 6 3 1 0.0
AP 6 4 1 6.00318e-318
AP 6 5 1 1.6123e-293
AP 6 6 1 4.56403e-270
AP 6 7 1 1.36172e-247
AP 6 8 1 4.28218e-226
AP 6 9 1 1.41932e-205
AP 6 10 1 4.95828e-186
AP 6 11 1 1.82566e-167
AP 6 12 1 7.08511e-150
AP 6 13 1 2.89808e-133
AP 6 14 1 1.24943e-117
AP 6 15 1 5.67742e-103
AP 6 16 1 2.71911e-89
AP 6 17 1 1.37259e-76
AP 6 18 1 7.30284e-65
AP 6 19 1 4.09525e-54
AP 6 20 1 2.4205e-44
AP 6 21 1 1.50789e-35
AP 6 22 1 9.90079e-28
AP 6 23 1 6.85185e-21
AP 6 24 1 4.99785e-15
AP 6 25 1 3.84234e-10
AP 6 26 1 3.11348e-06
AP 6 27 1 0.0026591
AP 6 28 1 0.239364
AP 6 29 1 2.27103
AP 6 30 1 2.27103
AP 6 31 1 0.239364
AP 6 32 1 0.0026591
AP 6 33 1 3.11348e-06
AP 6 34 1 3.84234e-10
AP 6 35 1 4.99785e-15
AP 6 36 1 6.85185e-21
AP 6 37 1 9.90079e-28
AP 6 38 1 1.50789e-35
AP 6 39 1 2.4205e-44
AP 6 40 1 4.09525e-54
AP 6 41 1 7.30284e-65
AP 6 42 1 1.37259e-76
AP 6 43 1 2.71911e-89
AP 6 44 1 5.67742e-103
AP 6 45 1 1.24943e-117
AP 6 46 1 2.89808e-133
AP 6 47 1 7.08511e-150
AP 6 48 1 1.82566e-167
AP 6 49 1 4.95828e-186
AP 6 50 1 1.41932e-205
AP 6 51 1 4.28218e-226
AP 6 52 1 1.36172e-247
AP 6 53 1 4.56403e-270
AP 6 54 1 1.6123e-293
AP 6 55 1 6.00318e-318
AP 6 56 1 0.0
