,Unnamed: 0,ID,Name,Other Name,"Ra
(deg)","Dec
(deg)","l
(deg)","b
(deg)","Outburst
Year",Date (YYYY/MM/DD.DDDD),Var. type,"Amp.
(mag)","Vmax
(mag)","t2
(day)","t3
(day)","FWHM Hα
(km/s)","Orb. period
(day)","Dist. 
(kpc)",Dist. Err. (kpc),"E(B-V)
(mag)",E(B-V) Err. (mag),"_r
(arcsec)","mode dist
(pc)","median dist
(pc)","infimum
(pc)","supremum
(pc)",Name.1,MJD,IJD
0,0,225,V3890 Sgr,N Sgr 1962,277.68,-24.019,9.204,-6.443,"1962, 1990",,NR,7.4 (V),8.1,6.0,14,2140,519.7,7.0,1.6,0.900 ± 0.300,,0.092,4218.0,4880.5,3024.1,8722.3,V3890 Sgr,,
1,1,54,V394 CrA,N CrA 1949,270.108,-39.01,352.82199999999995,-7.723,"1949, 1987",,NR,11.2 (V),7.2,2.4,5.2,4600,1.51600,2.0,,: 0.200,,0.908,3225.0,4131.6,1973.9,8709.5,V394 CrA,,
2,2,172,V745 Sco,,268.842,-33.25,357.358,-3.999,"1937, 1989",,NR,9.2),9.4,6.2,9,3600,510,3.5,0.85,1.000 ± 0.200,,0.107,,,,,V745 Sco,,
3,3,101,IM Nor,N Nor 1920,234.861,-52.322,327.098,2.485,"1920, 2002",,NR,9.8 (V),8.5,50.0,80,2380,0.10200,2.4,0.8,0.800 ± 0.200,,0.113,1311.7,2290.2,907.6,6533.6,IM Nor,,
4,4,3,CI Aql,,283.015,-1.477,31.688,-0.812,"1917, 1941, 2000",,NR,7.7 (V),9.0,25.0,32,2250,0.61800,3.9,0.5,0.920 ± 0.220,,0.166,3061.8,3227.9,2532.3,4470.4,CI Aql,,
5,5,113,V2487 Oph,N Oph 1998,262.999,-19.232,6.604,7.775,"1900, 1998",,NR,8.2 (V),9.5,6.0,8,10000,,1.12,0.33,0.400 ± 0.080,,0.124,5035.1,5780.1,3494.4,10176.8,V2487 Oph,,
6,6,105,RS Oph,N Oph 1898,267.555,-6.707999999999998,19.8,10.372,"1898, 1907, 1933, 1945, 1958, 1967, 1985, 2006",,NR,6.2 (V),4.8,7.0,14,3930,455.72,4.2,0.9,0.730 ± 0.100,,0.625,2263.0,2332.1,1935.4,2936.7,RS Oph,,
7,7,147,T Pyx,N Pyx 1890,136.173,-32.38,257.207,9.707,"1890, 1902, 1920, 1944, 1967",,NR,9.1 (V),6.4,32.0,62,5350,0.07600,4.8,0.5,0.250 ± 0.020,,0.038,3277.6,3413.8,2753.7,4500.7,T Pyx,,
8,8,56,T CrB,N CrB 1866,239.875,25.92,42.374,48.165,"1866, 1946",,NR,7.3 (V),2.5,4.0,6,4980,227.55,0.75,0.32,0.100 ± 0.080,,0.199,824.6,827.3,775.7,96640.2,T CrB,,
9,9,150,U Sco,N Sco 1863,245.628,-17.878,357.6690000000001,21.869,"1863, 1906, 1917, 1936, 1945, 1969, 1979, 1987, 1999, 2010",,NR,10.1 (V),7.5,1.0,3,5700,1.23100,12.0,2.0,0.140 ± 0.120,,0.313,,,,,U Sco,,
10,10,292,V556 Nor,N Nor 2018,243.63712,-53.50422,330.3833,-1.8252,2018,2018 10 13.414,NAa,10.16,11.0,,,,,8.179,16.358,,,,,,,,V556 Nor,58404.41400462963,6860.414004629631
11,11,293,V3666 Oph,N Oph 2018/3,265.6,-20.8857,6.49169,4.8267,2018,2018 08 08.9596,NAa,11.1,9.0,,,,,8.179,16.358,,,,,,,,V3666 Oph,58338.95959490741,6794.959594907406
12,12,294,V613 Sct,N Sct 2018,277.3456,-14.5122,17.53122,-1.80365,2018,2018 06 29.577,NAa,10.3,10.4,,,,,8.179,16.358,,,,,,,,V613 Sct,58298.577002314814,6754.577002314814
13,13,295,V408 Lup,N Lup 2018,234.6826,-47.74474,329.7438,6.2275,2018,2018 06 03.4306,NAa,,8.98,,,,,8.179,16.358,,,,,,,,V408 Lup,58272.430601851855,6728.430601851855
14,14,296,V392 Per,N Per 2018,70.83904,47.3571,157.991,0.90224,2018,2018 04 29.4740,UG,,,,,,,8.179,16.358,,,,,,,,V392 Per,58237.47400462963,6693.474004629628
15,15,297,V5857 Sgr,N Sgr 2018,271.03937,-18.0655,11.5258,1.82901,2018,2018 04 08.723,NAa,11.2,10.8,,,,,8.179,16.358,,,,,,,,V5857 Sgr,58216.72299768519,6672.722997685189
16,16,298,V435 CMa,N CMa 2018,108.441,-21.2086,234.3155,-4.833,2018,2018 03 24.496,NAa,12,12.1,,,,,8.179,16.358,,,,,,,,V435 CMa,58201.49599537037,6657.495995370373
17,17,299,V906 Car,N Car 2018,159.05700000000004,-59.5986,286.5801,-1.08864,2018,2018 03 20.32,NAa,<10.0,6.62,,,,,8.179,16.358,,,,,,,,V906 Car,58197.32,6653.32
18,18,300,V3665 Oph,N Oph 2018/2,258.51054,-28.8231,356.285877,5.83385,2018,2018 03 10.805,NAa,,9.3,,,,,8.179,16.358,,,,,,,,V3665 Oph,58187.805,6643.805
19,19,301,V1663 Sco,N Sco 2018/3,255.94795,-38.28253,347.3874,1.9313,2018,2018 02 24.36,NAa,14.3,11.4,,,,,8.179,16.358,,,,,,,,V1663 Sco,58173.36,6629.360000000001
20,20,302,V3664 Oph,N Oph 2018/1,261.16712,-24.36286,1.33515,6.40568,2018,2018 02 12.834,N,12.5,12.8,,,,,8.179,16.358,,,,,,,,V3664 Oph,58161.83400462963,6617.834004629629
21,21,303,V1662 Sco,N Sco 2018/2,252.207,-44.9508,340.436752,-0.059000000000000004,2018,2018 02 06.863,NAa,11.7,9.8,,,,,8.179,16.358,,,,,,,,V1662 Sco,58155.86299768519,6611.862997685188
22,22,304,FM Cir,N Cir 2018,208.364958,-67.41691,308.849,-5.2605,2018,2018 01 19.708,NAa,9.1,8.33,,,,,8.179,16.358,,,,,,,,FM Cir,58137.70799768518,6593.707997685182
23,23,305,V1661 Sco,N Sco 2018/1,259.5265,-32.0743,354.1292,3.2423,2018,2018 01 17.869,NAa,11.0,10.7,,,,,8.179,16.358,,,,,,,,V1661 Sco,58135.86900462963,6591.869004629632
24,24,306,V357 Mus,N Mus 2018,171.56316,-65.52313000000001,294.25499,-4.09659,2018,2018 01 14.4861,NAa,,6.7,,,,,8.179,16.358,,,,,,,,V357 Mus,58132.48609953704,6588.48609953704
25,25,307,V3663 Oph,N Oph 2017/2,259.6876,-24.9061,0.1234,7.21558,2017,2017 11 11.3736,N,9.4,,,,,,8.179,16.358,,,,,,,,V3663 Oph,58068.37359953704,6524.373599537037
26,26,308,V1660 Sco,N Sco 2017/2,262.6424,-31.10188,356.4271,1.59333,2017,2017 10 14,N,,,,,,,8.179,16.358,,,,,,,,V1660 Sco,58040.0,6496.0
27,27,309,V549 Vel,N Vel 2017,132.62323,-47.7579,267.1953,-2.3242,2017,2017 09 24.39,NB,11.3,,,,,,8.179,16.358,,,,,,,,V549 Vel,58020.39,6476.389999999999
28,28,291,V612 Sct,N Sct 2017,277.941,-14.315,17.973,-2.224,2017,2017 06 19.41,N,"10.4 (G,V)",10.9,,,800,,3.99,1.0,0.680,,0.588,,,,,ASASSN-17hx / V612 Sct,57923.41,6379.4100000000035
29,29,310,V1405 Cen,N Cen 2017,200.2305,-63.7051,306.1905799999999,-1.0201,2017,2017 04 25.08,N,10.9,10.9,,,,,8.179,16.358,,,,,,,,V1405 Cen,57868.08,6324.080000000002
30,30,311,V3662 Oph,N Oph 2017/1,264.942,-24.9654,2.693663,3.1965,2017,2017 05 08.7511,NAa,13.6U,,,,,,8.179,16.358,,,,,,,,V3662 Oph,57881.75109953704,6337.751099537039
31,31,312,V1657 Sco,N Sco 2017,253.07862000000003,-37.9052,346.2809,3.93635,2017,2017 02 01.862,N,11.7,12.8,,,,,8.179,16.358,,,,,,,,V1657 Sco,57785.86200231482,6241.862002314818
32,32,126,V3661 Oph,N Oph 2016,263.96,-29.573,358.329,1.471,2016,2016 03 11.801,N,"<11.4 (Ic,R)",10.79,3.9,5.7,,,115.734,61.451,2.370,,,,,,,V3661 Oph,57458.80099537037,5914.800995370373
33,33,198,V5856 Sgr,ASASSN-16ma,275.217,-28.37,4.293,-6.461,2016,2016 10 25.02,NAa,,5.9,11.3,14.5,,,7.689,3.677,1.020,,,,,,,V5856 Sgr,57686.02,6142.019999999997
34,34,263,V5855 Sgr,N Sgr 2016/3,272.618,-27.5,3.981,-4.025,2016,2016 10 20.383,NAa,<14.3 (V),7.54,18.0,23.5,,,13.382,6.37,0.500,,,,,,,V5855 Sgr,57681.382997685185,6137.382997685185
