Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,0,0,0,0,0,5.6746e-15,0,0,0
0.015,0.018,1.2205e-09,4.2148e-12,1.0555e-14,3.2778e-14,1.2157e-15,4.1903e-16,7.9476e-15,2.6083e-15,4.2597e-15
0.018,0.022,1.5726e-08,6.795e-11,1.8005e-13,9.6942e-14,4.9066e-14,2.262e-14,2.752e-14,6.4544e-14,2.6389e-13
0.022,0.027,5.7115e-08,1.8181e-10,7.0022e-13,4.0468e-13,1.1063e-13,4.9906e-14,4.8124e-14,1.516e-13,6.949e-13
0.027,0.032,8.7293e-08,2.9295e-10,1.2751e-12,6.7231e-13,1.6047e-13,8.1765e-14,7.1904e-14,2.8861e-13,1.069e-12
0.032,0.039,1.0099e-07,3.0515e-10,1.2593e-12,6.4887e-13,2.0955e-13,9.7274e-14,9.6195e-14,3.6343e-13,1.502e-12
0.039,0.048,8.6389e-08,2.8704e-10,1.207e-12,6.7752e-13,1.8576e-13,1.0648e-13,9.4327e-14,3.1767e-13,1.2485e-12
0.048,0.058,7.7696e-08,2.654e-10,1.0729e-12,5.3677e-13,1.7524e-13,8.2239e-14,7.9667e-14,2.9323e-13,1.0057e-12
0.058,0.071,6.0527e-08,2.1998e-10,8.9233e-13,4.2709e-13,1.4327e-13,7.1601e-14,5.8888e-14,2.276e-13,8.514e-13
0.071,0.086,4.8621e-08,1.9072e-10,6.9462e-13,3.8839e-13,1.1065e-13,5.2623e-14,4.983e-14,1.7467e-13,6.99e-13
0.086,0.105,3.6383e-08,1.3858e-10,5.9168e-13,3.1372e-13,8.7944e-14,4.3691e-14,4.5201e-14,1.562e-13,5.8915e-13
0.105,0.127,2.6247e-08,1.0228e-10,4.6976e-13,2.2683e-13,6.9873e-14,3.5723e-14,3.3904e-14,1.1793e-13,4.6838e-13
0.127,0.155,2.067e-08,8.3914e-11,3.5579e-13,1.9371e-13,5.2182e-14,2.5648e-14,2.5131e-14,8.7016e-14,3.5386e-13
