Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,0,0,0,0,0,8.5573e-15,0,0,0
0.015,0.018,8.809e-09,3.0909e-11,0,4.3285e-15,2.5791e-14,6.987e-15,8.0342e-16,1.1596e-15,6.0654e-15
0.018,0.022,3.2897e-08,1.0575e-10,2.1339e-13,1.8746e-13,5.313e-14,3.0038e-14,1.4172e-14,3.985e-14,2.9065e-13
0.022,0.027,1.0011e-07,2.8504e-10,7.1821e-13,4.2848e-13,1.4447e-13,7.1794e-14,5.7592e-14,1.7618e-13,7.499e-13
0.027,0.032,1.53e-07,5.2758e-10,1.1003e-12,7.3189e-13,2.4783e-13,1.0158e-13,1.0514e-13,3.8518e-13,1.2455e-12
0.032,0.039,1.8451e-07,7.4742e-10,1.7425e-12,8.9274e-13,3.1261e-13,1.3868e-13,1.0713e-13,4.2723e-13,1.4439e-12
0.039,0.048,1.765e-07,6.7955e-10,1.52e-12,9.1223e-13,2.6959e-13,1.2945e-13,1.0449e-13,4.1997e-13,1.5866e-12
0.048,0.058,1.6308e-07,6.0078e-10,1.3882e-12,8.0019e-13,2.6723e-13,1.261e-13,1.0307e-13,3.7373e-13,1.4142e-12
0.058,0.071,1.2257e-07,4.6956e-10,1.1838e-12,5.9702e-13,2.0751e-13,9.0723e-14,8.2618e-14,3.1544e-13,1.1741e-12
0.071,0.086,9.2268e-08,3.6339e-10,8.4355e-13,4.9931e-13,1.6886e-13,7.5115e-14,6.0631e-14,2.2936e-13,8.5928e-13
0.086,0.105,7.6278e-08,3.0236e-10,7.507e-13,4.1725e-13,1.2977e-13,6.5166e-14,5.1716e-14,2.0772e-13,7.2963e-13
0.105,0.127,5.8431e-08,2.1477e-10,6.0814e-13,3.1804e-13,1.0623e-13,4.4716e-14,4.1581e-14,1.4591e-13,5.9578e-13
0.127,0.155,3.7312e-08,1.6009e-10,4.705e-13,2.6598e-13,7.7554e-14,3.7243e-14,2.8256e-14,1.1371e-13,4.6168e-13
