Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,1.542e-11,0,0,0,0,0,0,0,0
0.015,0.018,3.1619e-11,4.472e-13,2.0381e-14,5.0315e-16,3.7105e-16,2.5678e-15,2.7466e-16,1.5336e-15,0
0.018,0.022,2.6541e-10,1.642e-12,8.1022e-14,1.6874e-14,3.5772e-15,2.8749e-15,3.0394e-15,8.392e-15,3.6714e-14
0.022,0.027,1.4581e-09,5.933e-12,2.1838e-13,6.9612e-14,1.2663e-14,7.2121e-15,1.0616e-14,2.1449e-14,8.8682e-14
0.027,0.032,1.7653e-09,8.0175e-12,3.3877e-13,9.2249e-14,2.345e-14,1.3138e-14,1.5097e-14,4.1364e-14,1.381e-13
0.032,0.039,2.3383e-09,9.5379e-12,3.7986e-13,1.1214e-13,2.7086e-14,1.5431e-14,1.9874e-14,5.03e-14,1.4383e-13
0.039,0.048,2.5752e-09,9.5128e-12,4.1528e-13,1.1197e-13,2.3794e-14,1.3838e-14,2.0299e-14,4.7294e-14,1.5267e-13
0.048,0.058,2.0691e-09,8.0213e-12,3.2182e-13,9.65e-14,2.2042e-14,1.4326e-14,1.7247e-14,3.9027e-14,1.4469e-13
0.058,0.071,1.7967e-09,6.2984e-12,2.5884e-13,8.0932e-14,1.7375e-14,1.0281e-14,1.5291e-14,3.266e-14,1.1414e-13
0.071,0.086,1.5487e-09,5.409e-12,2.4772e-13,6.9225e-14,1.4692e-14,8.6601e-15,1.1623e-14,2.7451e-14,9.2646e-14
0.086,0.105,1.2834e-09,4.6724e-12,1.8741e-13,5.7033e-14,1.2518e-14,7.5814e-15,1.1141e-14,2.3466e-14,7.4207e-14
0.105,0.127,8.8909e-10,3.5318e-12,1.4939e-13,4.4036e-14,9.8045e-15,6.0691e-15,8.341e-15,1.775e-14,5.904e-14
0.127,0.155,7.2095e-10,3.0578e-12,1.2222e-13,3.7248e-14,7.8508e-15,4.4862e-15,5.5561e-15,1.3543e-14,3.9896e-14
0.155,0.188,7.1359e-10,2.5593e-12,1.1099e-13,3.3433e-14,6.7876e-15,4.5928e-15,4.7388e-15,1.1579e-14,3.4748e-14
0.188,0.229,6.2293e-10,2.2762e-12,9.9566e-14,2.7123e-14,6.0826e-15,3.6026e-15,4.1828e-15,1.0137e-14,2.9887e-14
0.229,0.278,5.6783e-10,2.0457e-12,8.9361e-14,2.342e-14,5.4001e-15,3.2083e-15,3.883e-15,9.0747e-15,3.0066e-14
0.278,0.338,5.4317e-10,1.9424e-12,8.1739e-14,2.364e-14,5.3372e-15,3.0012e-15,3.7956e-15,8.8094e-15,2.7961e-14
0.338,0.411,5.0271e-10,1.8554e-12,7.5088e-14,2.0614e-14,5.02e-15,3.3626e-15,4.1293e-15,1.0426e-14,3.0334e-14
0.411,0.5,4.7945e-10,1.7369e-12,7.809e-14,2.2136e-14,8.1256e-15,6.75e-15,1.0917e-14,2.5253e-14,6.9025e-14
0.5,0.508,5.7142e-10,2.0313e-12,8.2633e-14,2.4933e-14,4.6926e-15,2.6848e-15,2.7041e-15,5.7747e-15,1.7045e-14
0.508,0.509,4.921e-10,2.1059e-12,6.4236e-14,2.6596e-14,4.1803e-15,1.2658e-15,1.6488e-15,5.2722e-15,2.2641e-14
0.509,0.51,5.1656e-10,2.2213e-12,1.1573e-13,2.3422e-14,5.8291e-15,2.36e-15,2.4798e-15,4.3609e-15,2.2765e-14
0.51,0.511,1.3778e-08,4.9839e-11,2.0596e-12,5.5014e-13,1.1019e-13,5.589e-14,5.5483e-14,1.2328e-13,3.1337e-13
0.511,0.512,0,0,0,1.4353e-15,5.6786e-16,2.8357e-16,3.6984e-16,5.1763e-16,6.7515e-15
0.512,0.513,0,0,0,0,1.8936e-16,2.8369e-16,5.5457e-16,5.1782e-16,5.0612e-15
0.513,0.514,0,0,0,0,3.7887e-16,0,1.8494e-16,0,1.687e-15
0.514,0.52,0,0,4.5664e-16,2.3792e-16,2.8373e-16,9.4372e-17,4.0044e-16,8.6232e-16,3.3737e-15
0.52,0.5668,0,0,0,1.3864e-16,1.8029e-16,2.241e-16,4.0731e-16,8.693e-16,3.5119e-15
0.5668,0.61781,0,0,1.0952e-16,1.9781e-16,1.6679e-16,2.088e-16,4.7855e-16,1.0815e-15,3.5773e-15
0.61781,0.67342,0,0,0,1.5634e-16,2.0029e-16,2.453e-16,4.5863e-16,1.1067e-15,3.2334e-15
0.67342,0.73402,0,0,1.3332e-16,1.7773e-16,2.7174e-16,3.2081e-16,5.0307e-16,1.2046e-15,3.6216e-15
0.73402,0.80008,0,0,1.6464e-16,2.8191e-16,2.372e-16,2.8516e-16,5.714e-16,1.3763e-15,4.1073e-15
