Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,0,0,0,0,0,0,0,0,0
0.015,0.018,1.9571e-43,1.87e-46,3.5099e-49,0,0,0,0,3.9319e-15,1.4233e-14
0.018,0.022,6.1681e-43,2.0026e-45,4.45e-48,8.4316e-48,0,0,1.1049e-15,2.8746e-14,2.1383e-13
0.022,0.027,1.4438e-42,6.7594e-45,1.2967e-47,2.7e-47,0,0,4.8312e-15,6.4971e-14,6.038e-13
0.027,0.032,2.5688e-42,9.4298e-45,1.655e-47,2.9341e-47,0,6.3808e-16,6.5424e-15,9.3498e-14,6.5681e-13
0.032,0.039,2.3358e-42,8.3378e-45,2.0126e-47,3.9467e-47,0,0,6.6524e-15,1.0135e-13,7.5022e-13
0.039,0.048,2.3347e-42,7.4352e-45,2.4213e-47,3.5392e-47,1.92e-16,9.7921e-17,5.5179e-15,1.0599e-13,6.7533e-13
0.048,0.058,1.8323e-42,6.8868e-45,1.7905e-47,3.5544e-47,0,1.1055e-16,4.9158e-15,8.1837e-14,5.4863e-13
0.058,0.071,1.626e-42,5.4318e-45,1.4803e-47,2.7789e-47,0,1.6008e-16,3.9877e-15,6.499e-14,4.3622e-13
0.071,0.086,1.2197e-42,4.3777e-45,1.2323e-47,2.3907e-47,0,1.4813e-16,3.1598e-15,4.9308e-14,3.4756e-13
0.086,0.105,1.0059e-42,3.5159e-45,1.2271e-47,2.3203e-47,0,4.7742e-17,2.4868e-15,4.4532e-14,2.8487e-13
0.105,0.127,7.2499e-43,2.7191e-45,9.9039e-48,1.6034e-47,0,8.2187e-17,2.4478e-15,3.0913e-14,2.2673e-13
0.127,0.155,5.3093e-43,2.1748e-45,5.7462e-48,8.9381e-48,0,0,1.408e-15,2.3381e-14,1.5178e-13
0.155,0.188,4.7046e-43,2.0743e-45,5.3265e-48,9.4894e-48,0,0,8.4951e-16,1.7397e-14,1.4171e-13
0.188,0.229,4.2384e-43,1.7571e-45,4.7865e-48,7.9716e-48,0,0,1.1293e-15,1.4355e-14,1.0838e-13
0.229,0.278,3.7595e-43,1.7506e-45,5.0836e-48,9.5766e-48,0,0,1.0583e-15,1.3752e-14,1.0454e-13
0.278,0.338,3.6152e-43,1.5723e-45,6.0233e-48,1.0477e-47,2.7301e-17,1.5e-17,1.072e-15,1.625e-14,1.0487e-13
0.338,0.411,3.5084e-43,1.4392e-45,7.8999e-48,1.32e-47,2.1559e-17,6.1886e-17,1.0878e-15,1.4988e-14,1.0608e-13
0.411,0.5,3.4376e-43,1.4578e-45,3.4721e-47,6.1631e-47,0,2.3902e-17,1.4028e-15,2.3088e-14,1.756e-13
0.5,0.508,3.7771e-43,1.7132e-45,5.1118e-49,0,0,1.1808e-16,8.2437e-16,1.17e-14,7.2514e-14
0.508,0.509,3.3571e-43,1.4775e-45,5.624e-49,0,0,0,0,7.1355e-15,8.6824e-14
0.509,0.51,4.7324e-43,1.633e-45,3.3668e-49,0,0,0,0,1.6638e-14,4.1758e-14
0.51,0.511,9.1786e-42,4.3586e-44,9.5557e-48,0,0,0,4.2372e-15,1.4356e-13,1.2478e-12
0.511,0.512,0,0,0,0,0,0,0,1.6795e-15,1.9305e-14
0.512,0.513,0,0,0,0,0,0,0,0,1.9293e-14
0.513,0.514,0,0,0,0,0,0,7.0654e-16,0,4.8238e-14
0.514,0.52,0,0,0,0,0,0,4.7099e-16,3.9173e-15,1.2851e-14
0.52,0.5668,0,0,0,0,0,2.0031e-17,3.7825e-16,3.8276e-15,1.7335e-14
0.5668,0.61781,0,0,0,0,0,1.7825e-17,4.9245e-16,3.6309e-15,2.2074e-14
0.61781,0.67342,0,0,0,0,0,0,4.757e-16,3.2986e-15,1.9378e-14
0.67342,0.73402,0,0,0,0,0,0,5.5741e-16,3.8044e-15,2.0442e-14
0.73402,0.80008,0,0,0,0,0,1.4395e-17,5.202e-16,4.6298e-15,2.6086e-14
0.80008,0.87209,0,0,0,0,0,2.5736e-17,5.3997e-16,3.5957e-15,2.2142e-14
0.87209,0.95058,0,0,0,0,0,0,4.7285e-16,3.8959e-15,2.3893e-14
0.95058,1.0361,0,0,0,0,0,1.1451e-17,5.8255e-16,4.3901e-15,2.4247e-14
1.0361,1.1294,0,0,0,0,0,1.0367e-17,6.7925e-16,5.2561e-15,3.1806e-14
1.1294,1.231,0,0,0,0,0,1.8595e-17,7.7006e-16,6.9201e-15,3.5738e-14
1.231,1.3418,0,0,0,0,0,8.4329e-18,1.5101e-15,2.0922e-14,1.4588e-13
1.3418,1.4626,0,0,0,0,0,0,0,0,0
1.4626,1.5942,0,0,0,0,0,0,0,0,0
1.5942,1.7377,0,0,0,0,0,0,0,0,0
1.7377,1.8941,0,0,0,0,0,0,0,0,0
1.8941,2.0646,0,0,0,0,0,0,0,0,0
2.0646,2.2504,0,0,0,0,0,0,0,0,0
2.2504,2.4529,0,0,0,0,0,0,0,0,0
2.4529,2.6737,0,0,0,0,0,0,0,0,0
