Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,2.7207e-16,0,0,0,0
0.012,0.015,0,0,0,0,0,0,0,0,0
0.015,0.018,3.236e-10,4.6035e-13,3.4745e-16,2.524e-16,6.7171e-17,2.8031e-17,7.1883e-17,2.5726e-15,5.8447e-15
0.018,0.022,1.3356e-09,4.5957e-12,5.4811e-15,1.1786e-15,4.3867e-16,4.0091e-16,1.0775e-15,1.1623e-14,6.9231e-14
0.022,0.027,3.3128e-09,1.2333e-11,1.1356e-14,3.3094e-15,1.3981e-15,9.5491e-16,1.9005e-15,2.5903e-14,2.1218e-13
0.027,0.032,4.9887e-09,1.6681e-11,1.5229e-14,5.6152e-15,2.3786e-15,1.7183e-15,2.3996e-15,3.4819e-14,2.8477e-13
0.032,0.039,5.2328e-09,2.0218e-11,1.3906e-14,5.3321e-15,2.1807e-15,1.7372e-15,4.0259e-15,3.9142e-14,3.7369e-13
0.039,0.048,4.9809e-09,1.8367e-11,1.4604e-14,5.6263e-15,2.2665e-15,1.7442e-15,3.2425e-15,3.6374e-14,3.2537e-13
0.048,0.058,4.1484e-09,1.6243e-11,1.3992e-14,4.4636e-15,2.0449e-15,1.3792e-15,2.8691e-15,3.7867e-14,2.7298e-13
0.058,0.071,3.0325e-09,1.1848e-11,1.0559e-14,3.6984e-15,1.6846e-15,1.1501e-15,2.3243e-15,2.7231e-14,2.2585e-13
0.071,0.086,2.3359e-09,9.2411e-12,7.6688e-15,2.8977e-15,1.2003e-15,8.659e-16,2.2258e-15,1.9607e-14,1.8456e-13
0.086,0.105,1.9047e-09,7.185e-12,6.8617e-15,2.4195e-15,1.027e-15,7.4485e-16,1.3978e-15,1.7085e-14,1.6514e-13
0.105,0.127,1.337e-09,5.2512e-12,4.7305e-15,1.9572e-15,7.9837e-16,6.0216e-16,1.0019e-15,1.2263e-14,1.2518e-13
0.127,0.155,9.5009e-10,3.7201e-12,3.4936e-15,1.5544e-15,6.4025e-16,4.023e-16,1.0656e-15,6.9129e-15,7.8371e-14
0.155,0.188,7.2583e-10,3.0441e-12,3.2073e-15,1.5576e-15,5.5493e-16,3.7071e-16,8.0797e-16,6.9614e-15,6.2345e-14
0.188,0.229,6.0899e-10,2.4377e-12,2.8646e-15,1.1854e-15,4.8965e-16,3.1218e-16,5.3502e-16,5.7913e-15,5.5458e-14
0.229,0.278,4.952e-10,2.206e-12,2.6421e-15,1.1178e-15,4.397e-16,3.0331e-16,7.461e-16,5.9331e-15,5.3876e-14
0.278,0.338,4.5406e-10,2.1471e-12,2.5578e-15,1.0928e-15,3.9723e-16,2.795e-16,6.6938e-16,6.3157e-15,5.8702e-14
0.338,0.411,4.2611e-10,1.8726e-12,2.3013e-15,9.855e-16,3.8849e-16,2.9024e-16,6.6059e-16,7.3606e-15,6.6004e-14
0.411,0.5,3.8347e-10,1.8445e-12,2.2579e-15,1.0336e-15,6.0986e-16,6.189e-16,1.6372e-15,1.3883e-14,1.4154e-13
0.5,0.508,4.6244e-10,2.0359e-12,2.5678e-15,1.1282e-15,3.8788e-16,2.1888e-16,2.3215e-16,3.0074e-15,3.2637e-14
0.508,0.509,3.8973e-10,1.3772e-12,2.3185e-15,1.2448e-15,2.4082e-16,2.3527e-16,5.0368e-16,7.1691e-15,4.7672e-14
0.509,0.51,4.0699e-10,2.0021e-12,1.8809e-15,1.0571e-15,2.7034e-16,1.2668e-16,3.1494e-16,4.4094e-15,2.5269e-14
0.51,0.511,1.0316e-08,4.8251e-11,6.3077e-14,2.7537e-14,8.7162e-15,4.9311e-15,8.5222e-15,5.1322e-14,5.6742e-13
0.511,0.512,0,0,0,0,0,1.2186e-17,1.5131e-16,3.3116e-15,6.9779e-15
0.512,0.513,0,0,0,0,2.8866e-17,1.2179e-17,0,8.2848e-16,0
0.513,0.514,0,0,0,0,0,2.4357e-17,0,1.6567e-15,6.9819e-15
0.514,0.52,0,0,0,6.2038e-18,7.2195e-18,2.2341e-17,1.0073e-16,9.6607e-16,5.815e-15
0.52,0.5668,0,0,0,5.6624e-18,1.2619e-17,2.2967e-17,8.7023e-17,1.2353e-15,7.6712e-15
0.5668,0.61781,0,0,0,2.1626e-18,1.2131e-17,1.7195e-17,7.1094e-17,1.1862e-15,8.6805e-15
0.61781,0.67342,0,0,7.6434e-18,8.0985e-18,1.5141e-17,2.1289e-17,9.3338e-17,1.1944e-15,7.6811e-15
0.67342,0.73402,0,0,3.5454e-18,5.4986e-18,1.4938e-17,2.0953e-17,7.7573e-17,1.4674e-15,9.5026e-15
0.73402,0.80008,0,0,3.2262e-18,6.2331e-18,1.8205e-17,2.2684e-17,8.9638e-17,1.4288e-15,8.5777e-15
0.80008,0.87209,0,0,1.4262e-18,1.1887e-17,1.442e-17,2.6036e-17,7.9706e-17,1.5262e-15,1.0396e-14
0.87209,0.95058,0,0,3.9883e-18,7.6943e-18,1.7857e-17,2.1214e-17,9.8789e-17,1.7999e-15,1.0052e-14
0.95058,1.0361,0,0,3.6367e-18,7.8241e-18,1.5269e-17,2.407e-17,1.0049e-16,1.7836e-15,1.0794e-14
1.0361,1.1294,0,0,1.1712e-18,1.0784e-17,2.3027e-17,3.0604e-17,1.2238e-16,2.1994e-15,1.2971e-14
1.1294,1.231,0,0,7.1577e-18,1.3441e-17,2.6103e-17,4.3478e-17,1.5816e-16,2.2398e-15,1.5329e-14
1.231,1.3418,0,0,2.9027e-17,6.9692e-17,1.5124e-16,2.1159e-16,7.3268e-16,6.9183e-15,6.228e-14
1.3418,1.4626,0,0,0,0,0,0,0,0,0
1.4626,1.5942,0,0,0,0,0,0,0,0,0
1.5942,1.7377,0,0,0,0,0,0,0,0,0
1.7377,1.8941,0,0,0,0,0,0,0,0,0
1.8941,2.0646,0,0,0,0,0,0,0,0,0
2.0646,2.2504,0,0,0,0,0,0,0,0,0
2.2504,2.4529,0,0,0,0,0,0,0,0,0
2.4529,2.6737,0,0,0,0,0,0,0,0,0
